system,n_events_total,n_events_recall,n_events_precision,recall_all,recall_all_tp,recall_all_denom,recall_reachable,recall_reachable_tp,recall_reachable_denom,precision,precision_tp,fp_total,avg_fp_per_event
A,30,11,27,0.0,0,61,0.0,0,27,0.0,0,9,0.3333333333333333
B,30,11,27,0.2459016393442623,15,61,0.5555555555555556,15,27,0.037037037037037035,15,390,14.444444444444445
