event_id,category,system,scoring_bucket,score_for_recall,score_for_precision,n_predicted,n_affected_total,n_affected_reachable,tp,tp_reachable,fp,tp_names,fp_names,missed_names
2_nippon_steel_2011,natural_disaster,B,B,True,True,81,9,9,9,9,72,"['ford motor', 'general motors', 'hitachi', 'honda motor', 'komatsu', 'nissan motor', 'panasonic', 'sony', 'toyota motor']","['aichi steel', 'air water', 'apple', 'asahi kasei', 'baoshan iron & steel', 'bh', 'china motor', 'china steel', 'daido metal', 'daikin industries', 'denso', 'eurogroup laminations', 'futaba industrial', 'gmb', 'hanwa', 'hd korea shipbuilding & offshore engineering', 'hino motors', 'hyundai motor', 'ijtt', 'iron force industrial', 'jtekt', 'kawasaki heavy industries', 'kg dongbusteel', 'kg eco technology service', 'kian shen', 'kiswire', 'kobe steel', 'konica minolta', 'kukdo chemical', 'kyowakogyosyo', 'kyushu electric power', 'maruichi steel tube', 'mazda motor', 'minebea mitsumi', 'mitsubishi chemical', 'mitsubishi electric', 'mitsubishi heavy industries', 'mitsubishi motors', 'mitsubishi steel manufacturing', 'mitsui', 'nhk spring', 'nichias', 'nippon steel trading', 'nsk', 'ntn', 'obayashi', 'okaya', 'press kogyo', 'qst international', 'san shing fastech', 'sanoh industrial', 'schaeffler', 'skf ab', 'snt', 'subaru', 'sumitomo electric industries', 'suzuki motor', 'thang long metal wares jsc', 'tokyo nissan computer system', 'tokyo rope manufacturing', 'topre', 'topy industries', 'toyota industries', 'toyota tsusho', 'ube', 'unipres', 'vallourec saca', 'volkswagen', 'volvo ab', 'yokogawa bridge', 'yokohama rubber co ltd/the', 'yorozu']",[]
4_dow_2017,natural_disaster,B,B,True,True,9,9,3,1,1,8,['formosa plastics'],"['avient', 'grupo pochteca sab de cv', 'hdc hyundai engineering plastics', 'hyundai motor', 'nan ya plastics', 'samsung electronics', 'saudi arabian oil', 'toray industries']","['ashland', 'exxon mobil', 'ineos', 'occidental petroleum', 'shell']"
17_basf_se_2016,industrial_accident,B,C,True,True,30,1,1,0,0,30,[],"['3m', 'akzo nobel', 'avient', 'axalta coating systems', 'bayerische motoren werke', 'byd', 'corteva', 'cummins', 'dongsung chemical', 'farasis energy gan zhou', 'ford motor', 'gazprom pjsc', 'general motors', 'grupo antolin-irausa', 'grupo pochteca sab de cv', 'guangdong delian', 'hansol chemical', 'honda motor', 'lanxess', 'lg chem', 'mobase electronics', 'ningbo shanshan', 'nissan motor', 'saic motor', 'samsung sdi', 'schaeffler', 'subaru', 'tata motors', 'toagosei', 'volkswagen']",['dow']
18_chevron_2012,industrial_accident,B,A,False,True,8,0,0,0,0,8,[],"['cia siderurgica nacional', 'cummins', 'e1', 'indian oil', 'jordan petroleum refinery', 'lanxess', 'sk', 'toyota motor']",[]
19_cpc_corp_taiwan_2014,industrial_accident,B,C,True,True,5,3,2,0,0,5,[],"['china motor', 'china steel', 'formosa plastics', 'taita chemical', 'taiwan cement']","['china petrochemical development', 'taiwan power']"
33_kyushu_electric_power_2018,energy,B,A,False,True,68,0,0,0,0,68,[],"['adient', 'air water', 'aisan industry', 'aisin', 'asahi kasei', 'basf se', 'bridgestone', 'chuo spring', 'daido metal', 'daido steel', 'daimler truck holding', 'denso', 'dow', 'futaba industrial', 'h-one', 'hino motors', 'hitachi', 'honda motor', 'jfe', 'jsr', 'jtekt', 'kobe steel', 'koito manufacturing', 'mahle', 'maruichi steel tube', 'minebea mitsumi', 'mitsubishi chemical', 'mitsubishi electric', 'mitsubishi heavy industries', 'mitsubishi materials', 'mitsubishi motors', 'mitsubishi steel manufacturing', 'nagase', 'nhk spring', 'nichias', 'nippon steel', 'nippon steel trading', 'nissan motor', 'nisshinbo', 'nok', 'nsk', 'okaya', 'panasonic', 'posco', 'rohm', 'sanoh industrial', 'sony', 'stanley black & decker', 'sumitomo chemical', 'sumitomo electric industries', 'sumitomo rubber industries', 'tdk', 'thyssenkrupp', 'toagosei', 'tokai carbon', 'tokyo rope manufacturing', 'topre', 'topy industries', 'toyoda gosei', 'toyota boshoku', 'toyota motor', 'toyota tsusho', 'uacj', 'ube', 'unipres', 'valeo se', 'yorozu', 'zeon']",[]
34_korea_electric_power_2011,energy,B,A,False,True,10,0,0,0,0,10,[],"['hyundai engineering & construction', 'hyundai rotem', 'kumho petrochemical', 'ls electric', 'lucky cement', 'perusahaan perseroan persero pt perusahaan listrik negara', 'posco', 'samsung c&t', 'sk', 'vedanta']",[]
47_china_steel_2018,geopolitical_policy,B,B,True,True,29,2,2,2,2,27,"['ford motor', 'general motors']","['china fineblanking technology', 'cpc corp/taiwan', 'cx technology', 'eurocharm', 'eurogroup laminations', 'garuda metalindo tbk pt', 'globaltek fabrication', 'gunung raja paksi tbk pt', 'hota industrial manufacturing', 'jui li enterprise', 'kajima', 'kian shen', 'maruichi steel tube', 'mitsubishi heavy industries', 'nippon steel', 'nippon steel trading', 'nissan motor', 'patec precision industry', 'qst international', 'right way industrial', 'san shing fastech', 'taiwan cement', 'tesla', 'tokai carbon', 'tong yang industry', 'toyota motor', 'volkswagen']",[]
48_glencore_2025,uncategorized,B,D,False,True,18,1,0,0,0,18,[],"['alcoa', 'arcelormittal', 'bayerische motoren werke', 'cia siderurgica nacional', 'cngr advanced material', 'contemporary amperex technology', 'coronado global resources', 'electra battery materials', 'formosa petrochemical', 'gem', 'grupo simec sab de cv', 'guangzhou development', 'korea electric power', 'samsung sdi', 'sk innovation', 'umicore', 'xiamen tungsten', 'zhejiang juhua']",['eurasian resources']
5_formosa_plastics_2021,natural_disaster,B,C,True,True,7,9,2,0,0,7,[],"['dow', 'formosa chemicals & fibre', 'formosa petrochemical', 'nan ya plastics', 'nexen tire', 'saudi basic industries', 'taita chemical']","['celanese', 'infineon technologies', 'lyondellbasell industries', 'nxp semiconductors', 'olin', 'samsung electronics']"
