max_tier,recall_all,recall_all_tp,recall_all_denom,precision,fp_total,avg_fp_per_event,avg_companies_predicted_per_event
1,0.2459016393442623,15,61,0.037037037037037035,390,14.444444444444445,15.0
2,0.36065573770491804,22,61,0.008252063015753939,2644,97.92592592592592,98.7
3,0.36065573770491804,22,61,0.003327325661999168,7189,266.25925925925924,267.1
4,0.36065573770491804,22,61,0.0025481602283151565,9786,362.44444444444446,363.4
