max_tier,event_id,category,score_for_recall,score_for_precision,n_predicted_raw,n_affected_total,n_affected_reachable,tp,tp_reachable,fp
3,9_xinxiang_tianli_energy_2021,natural_disaster,False,True,123,5,0,1,0,122
3,20_formosa_petrochemical_2019,industrial_accident,False,False,353,1,1,1,1,352
3,21_mitsubishi_materials_2014,industrial_accident,True,True,338,1,1,0,0,338
3,23_s_oil_2022,industrial_accident,False,True,0,0,0,0,0,0
3,35_gazprom_pjsc_2022,geopolitical_policy,True,True,227,6,2,2,2,225
3,36_basf_se_2022,energy,False,False,365,0,0,0,0,365
3,49_xiamen_tungsten_2010,geopolitical_policy,False,False,309,0,0,0,0,309
3,50_aneka_tambang_tbk_2020,geopolitical_policy,False,True,352,0,0,0,0,352
3,10_hesteel_2023,natural_disaster,False,True,347,0,0,0,0,347
3,11_aurizon_2010,natural_disaster,True,True,322,11,3,3,3,319
3,24_bp_2010,industrial_accident,False,True,369,3,0,0,0,369
3,25_petrochina_2005,industrial_accident,False,True,213,0,0,0,0,213
3,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,True,True,179,6,1,0,0,179
3,40_state_grid_corp_of_china_2021,energy,False,True,155,5,0,0,0,155
3,41_yunnan_aluminium_2022,energy,False,True,216,0,0,0,0,216
3,54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,False,True,0,1,0,0,0,0
3,57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,True,176,5,0,1,0,175
3,59_coronado_global_resources_2020,geopolitical_policy,True,True,125,4,1,1,1,124
4,1_posco_2022,natural_disaster,False,True,401,1,0,0,0,401
4,2_nippon_steel_2011,natural_disaster,True,True,401,9,9,9,9,392
4,4_dow_2017,natural_disaster,True,True,398,9,3,3,3,395
4,17_basf_se_2016,industrial_accident,True,True,400,1,1,1,1,399
4,18_chevron_2012,industrial_accident,False,True,400,0,0,0,0,400
4,19_cpc_corp_taiwan_2014,industrial_accident,True,True,396,3,2,0,0,396
4,33_kyushu_electric_power_2018,energy,False,True,401,0,0,0,0,401
4,34_korea_electric_power_2011,energy,False,True,398,0,0,0,0,398
4,47_china_steel_2018,geopolitical_policy,True,True,400,2,2,2,2,398
4,48_glencore_2025,uncategorized,False,True,401,1,0,0,0,401
4,5_formosa_plastics_2021,natural_disaster,True,True,401,9,2,1,1,400
4,8_exxon_mobil_2005,natural_disaster,False,True,398,4,0,0,0,398
4,9_xinxiang_tianli_energy_2021,natural_disaster,False,True,322,5,0,2,0,320
4,20_formosa_petrochemical_2019,industrial_accident,False,False,401,1,1,1,1,400
4,21_mitsubishi_materials_2014,industrial_accident,True,True,399,1,1,0,0,399
4,23_s_oil_2022,industrial_accident,False,True,0,0,0,0,0,0
4,35_gazprom_pjsc_2022,geopolitical_policy,True,True,401,6,2,2,2,399
4,36_basf_se_2022,energy,False,False,400,0,0,0,0,400
4,49_xiamen_tungsten_2010,geopolitical_policy,False,False,399,0,0,0,0,399
4,50_aneka_tambang_tbk_2020,geopolitical_policy,False,True,401,0,0,0,0,401
4,10_hesteel_2023,natural_disaster,False,True,400,0,0,0,0,400
4,11_aurizon_2010,natural_disaster,True,True,401,11,3,3,3,398
4,24_bp_2010,industrial_accident,False,True,401,3,0,0,0,401
4,25_petrochina_2005,industrial_accident,False,True,400,0,0,0,0,400
4,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,True,True,397,6,1,0,0,397
4,40_state_grid_corp_of_china_2021,energy,False,True,352,5,0,0,0,352
4,41_yunnan_aluminium_2022,energy,False,True,374,0,0,0,0,374
4,54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,False,True,0,1,0,0,0,0
4,57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,True,380,5,0,1,0,379
4,59_coronado_global_resources_2020,geopolitical_policy,True,True,388,4,1,1,1,387
