company,reason,detail
chongqing changan automobile,no CIK found,
hitachi astemo,no CIK found,
nissin kogyo,no CIK found,
astra otoparts tbk pt,no CIK found,
bosch,no CIK found,
umw holdings bhd,no CIK found,
selamat sempurna tbk pt,no CIK found,
xinchen china power,no CIK found,
getrag jiangxi transmission,no CIK found,
fev,no CIK found,
dongwon metal,no CIK found,
nvh korea,no CIK found,
gb corp/eg,no CIK found,
hiroca holdings lid,no CIK found,
sjm,no CIK found,
asti,no CIK found,
j-max,no CIK found,
kian shen,no CIK found,
dangfeng electronic technology co lb,no CIK found,
tieliu,no CIK found,
cars motorcycles and marine engine trade and import,no CIK found,
guangzhou development,no CIK found,
kumkang kind,no CIK found,
mobase electronics,no CIK found,
baoshan iron & steel,no CIK found,
posco eco & challenge,no CIK found,
alfa sab de cv,no CIK found,
nagase,no CIK found,
nhk spring,no CIK found,
topy industries,no CIK found,
okaya,no CIK found,
ls electric,no CIK found,
taita chemical,no CIK found,
dl holdings co lirl,no CIK found,
jui li enterprise,no CIK found,
daechang steel,no CIK found,
yokogawa bridge,no CIK found,
usa steel,no CIK found,
guangdong delian,no CIK found,
cia siderurgica nacional,no CIK found,
aichi steel,no CIK found,
bh,no CIK found,
maruichi steel tube,no CIK found,
aes corp/the,no CIK found,
guangzhou tinci materials technology,no CIK found,
bakrie and brothers tbk pt,no CIK found,
hd korea shipbuilding & offshore engineering,no CIK found,
patec precision industry,no CIK found,
samsung electronics,known non-filer,Korea-listed (KRX 005930)
snt,no CIK found,
xinxiang tianli energy,no CIK found,
gazprom pjsc,no CIK found,
yunnan chihong zinc&germanium,no CIK found,
formosa petrochemical,no CIK found,
united co rusal international pjsc,no CIK found,
china steel,no CIK found,
formosa plastics,no CIK found,
cpc corp/taiwan,no CIK found,
xiamen tungsten,no CIK found,
yunnan aluminium,no CIK found,
aurizon,known non-filer,ASX-listed
s-oil,no CIK found,
hesteel,no CIK found,
aneka tambang tbk,no CIK found,
perusahaan perseroan persero pt perusahaan listrik negara,no CIK found,
