company_a,company_b,similarity_score,decision,canonical_name
wijaya karya bangunan gedung tbk pt,wijaya karya persero tbk pt,100.0,reject,
wijaya karya before ibk pt,wijaya karya persero tbk pt,100.0,approve,wijaya karya persero tbk pt
tokai,tokai carbon korea,100.0,reject,
state power investment,state power investment corp shanxi aluminum,100.0,reject,
jinneng holding shanxi coal industry,jinneng holding shanxi electric power,100.0,reject,
state development & investment,state power investment,100.0,reject,
sk,sk multi utility,100.0,reject,
tanaka,tanaka seimitsu kogyo,100.0,reject,
taiyo,taiyo technolex,100.0,reject,
power construction corp of china,shipping corp of india,100.0,reject,
taiyo,taiyo kisokogyo,100.0,reject,
tokai,tokai concrete industries,100.0,reject,
sk,sk materials airplus,100.0,reject,
sk,sk materials,100.0,reject,
sk,sk oceanplant,100.0,reject,
sk,sk shipping,100.0,reject,
sk,sk signet,100.0,reject,
snt,snt motiv,100.0,reject,
sk,sk telecom,100.0,reject,
sk materials,sk materials airplus,100.0,reject,
state oil co of the azerbaijan republic,state oil co of the azerbaijan republic:,98.630135,approve,state oil co of the azerbaijan republic
fomento de construcciones y contratas,formento de construcciones y contratas,98.55073,approve,fomento de construcciones y contratas
opengembangan pariwisata indonesia persero pt,pengembangan pariwisata indonesia persero pt,98.50746,approve,pengembangan pariwisata indonesia persero pt
twijaya karya bangunan gedung tbk pt,wijaya karya bangunan gedung tbk pt,98.24561,approve,wijaya karya bangunan gedung tbk pt
zhejiang jiuli hi-tech metals,zhejiang juli hi-tech metals,98.24561,approve,zhejiang jiuli hi-tech metals
mmi holdings ltd/singapore,vmmi holdings ltd/singapore,98.113205,reject,
petroliam narsional bhd,petroliam nasional bhd,97.77778,approve,petroliam nasional bhd
pelabuhan indonesia i persero pt,pelabuhan indonesia iv persero pt,97.674416,reject,
opacific national pty,pacific national pty,97.560974,approve,pacific national pty
ounited metallurgical co jsc,united metallurgical co jsc,97.560974,approve,united metallurgical co jsc
engie energia chile,engike energia chile,97.4359,approve,engie energia chile
namura shipbuilding,tnamura shipbuilding,97.4359,approve,namura shipbuilding
jiangsu zhangsheng gaoke environmental,jiangsu zhongsheng gaoke environmental,97.36842,approve,jiangsu zhongsheng gaoke environmental
manchester airport,manchester airports,97.297295,approve,manchester airport
thintech materials technology,tthintech materials technology,97.297295,approve,thintech materials technology
hanwina aerospace,thanwina aerospace,97.14286,approve,Hanwha Aerospace
pjsc gazprom gazoraspredeleniye ufa,pjsc gazprom gazoraspredelentye ufa,97.14286,approve,pjsc gazprom gazoraspredeleniye ufa
delta duna makmur tbk pt,delta dunia makmur tbk pt,97.14286,approve,delta dunia makmur tbk pt
shun on electonic,shun on electronic,97.14286,approve,shun on electronic
century aluminum,century alumminum,96.969696,approve,century aluminum
mitsubishi heavy industries,tmitsubishi heavy industries,96.969696,approve,mitsubishi heavy industries
amkor technology,oamkor technology,96.969696,approve,amkor technology
bayan resources tbk pt,ibayan resources tbk pt,96.77419,approve,bayan resources tbk pt
alumium corp of china,alumnium corp of china,96.77419,approve,aluminum corp of China
aluminum corp of china,alumium corp of china,96.77419,approve,aluminum corp of China
matsuo electric,smatsuo electric,96.77419,approve,matsuo electric
kaiser aluminium,kaiser aluminum,96.77419,approve,kaiser aluminium
sociedad quimica y minera de chile,sociodad quimica y minera de chile,96.77419,approve,sociedad quimica y minera de chile
hana technology,hanma technology,96.77419,reject,
terna - rete eletirica nazionale,terna - rete elettrica nazionale,96.666664,approve,terna - rete elettrica nazionale
shuangliang eco-energy systems,shuanglians eco-energy systems,96.666664,approve,shuangliang eco-energy systems
hengdian group dmegc magnetics,hengdian group dmego magnetics,96.666664,approve,hengdian group dmegc magnetics
yunnam chihong zinc&germanium,yunnan chihong zinc&germanium,96.55173,approve,yunnan chihong zinc&germanium
angkasa pura i pt,angkasa pura ii pt persero,96.55173,reject,
hana technology,hna technology,96.55173,reject,
china fineblanking technology,chuna fineblanking technology,96.55173,approve,china fineblanking technology
kmi wire & cable tbk pt,skmi wire & cable tbk pt,96.55173,approve,kmi wire & cable tbk pt
yunnam chihong zinc&germanium,yunnam chihong zinckgermanium,96.55173,approve,yunnan chihong zinc&germanium
kawasaki heavy industries,skawasaki heavy industries,96.55173,approve,kawasaki heavy industries
keisei electric railway,tkeisei electric railway,96.55173,approve,keisei electric railway
cec environmental protection,cecep environmental protection,96.55173,reject,
changqing changan automobile,changqing changar automobile,96.42857,approve,chongqing changan automobile
changqing changan automobile,chongqing changan automobile,96.42857,approve,chongqing changan automobile
nan pao resins chemical,nanpao resins,96.296295,approve,nan pao resins chemical
empresa electrica pehuenche,empresa flectrica pehuenche,96.296295,approve,empresa electrica pehuenche
bhyundai motor,hyundai motor,96.296295,approve,hyundai motor
hyosung advanced materials,osung advanced materials,96.0,reject,
lyondellbanell industries,lyondellbasell industries,96.0,approve,lyondellbasell industries
ps mitsubishi construction,ps mitubishi construction,96.0,approve,ps mitsubishi construction
suzuki motor,suzuki motors,96.0,approve,suzuki motor
guanggi honda automobile,guangqi honda automobile,95.833336,approve,guangqi honda automobile
jolywood suzhou sunwalt,jolywood suzhou sunwatt,95.652176,approve,jolywood suzhou sunwatt
chuo spring,churo spring,95.652176,approve,chuo spring
thai oil pc,thai oil pcl,95.652176,approve,thai oil pcl
multistrada arab sarana tbk pt,multistrada arah sarana tbk pt,95.652176,approve,multistrada arah sarana tbk p
san-a obbli,san-ai obbli,95.652176,approve,san-ai obbli
shandong human smelting,shandong humon smelting,95.652176,approve,shandong humon smelting
rangsheng petrochemical,rongsheng petrochemical,95.652176,approve,rongsheng petrochemical
south east fuiian motor,south east fujian motor,95.652176,approve,south east fujian motor
vestas wind systems a/s,vestas wind systems n/s,95.652176,approve,vestas wind systems a/s
shaanxi coal industry,shanxi coal international energy,95.652176,reject,
east nippon expressway,west nippon expressway,95.454544,reject,
taho chemical industry,toho chemical industry,95.454544,approve,toho chemical industry
pelabuhan indonesia i persero pt,pelabuhan indonesia iii persero pt,95.454544,reject,
huaneng lancang river hydropower,huarieng lancang river hydropower,95.38461,approve,huaneng lancang river hydropower
myoung shin industrial,shin young,95.2381,reject,
long green energy technology,longi green energy technology,95.2381,approve,longi green energy technology
hindusian aeronautics,hindustan aeronautics,95.2381,approve,hindustan aeronautics
sf holding,sif holding,95.2381,reject,
sf holding,snf holding,95.2381,reject,
cie plastic omnium se,cie plastic ompium se,95.2381,approve,cie plastic omnium se
jiangxi special electric mobor,jiangxi special electric motor,95.2381,approve,jiangxi special electric motor
philinnines department of transportation,philippines department of transportation,95.0,approve,philippines department of transportation
human kaimeite gases,hunan kaimeite gases,95.0,approve,hunan kaimeite gases
leatec fine ceramics,leated fine ceramics,95.0,approve,leatec fine ceramics
hengli petrochemical,hengyi petrochemical,95.0,reject,
chsig inner mongolia chemical industry,cnsig inner mongolia chemical industry,95.0,approve,cnsig inner mongolia chemical industry
empresa nacional del petroleo,empresa nacional diet petroleo,94.91525,approve,empresa nacional del petroleo
china yangize power,china yangtze power,94.73684,approve,china yangtze power
hindalco industries,hindaloo industries,94.73684,approve,hindalco industries
saic general motors,said general motors,94.73684,approve,saic general motors
transpnevmatika dao,transpnevmatika oao,94.73684,approve,transpnevmatika oao
vietnam electricity,vietram electricity,94.73684,approve,vietnam electricity
hd hyundai,hyundai engineering h construction,94.73684,reject,
samil c&s,tsamil c&s,94.73684,approve,samil c&s
sembcorp industries,semboorp industries,94.73684,approve,embcorp industries
beijing jingyunbong technology,beijing jingyuntong technology,94.73684,approve,beijing jingyuntong technology
albemarle,albermarle,94.73684,approve,albemarle
dr ing hc f porsche,dr ing he f porsche,94.73684,approve,dr ing hc f porsch
orio tinto,rio tinto,94.73684,approve,rio tinto
indian oil,oil india,94.73684,reject,
hd hyundai electric,hyundai engineering h construction,94.73684,reject,
posco international,posso international,94.73684,approve,posco international
dr ing he f porsche,dr ing ho f porsche,94.73684,approve,dr ing hc f porsche
dr ing hc f porsche,dr ing ho f porsche,94.73684,approve,dr ing hc f porsche
grupo simec sab de cv,grupo simeo sab de cv,94.44444,approve,grupo simec sab de cv
east japan railway,west japan railway,94.44444,reject,
metain investments,metair investments,94.44444,approve,metair investments
ding hc f porsche,dr ing hc f porsche,94.44444,approve,dr ing hc f porsche
engie energia peru,engik energia peru,94.44444,approve,engie energia peru
volkerfitznatrick,volkerfitzpatrick,94.117645,approve,volkerfitzpatrick
esco technologies,exco technologies,94.117645,reject,
gm korea,gmb korea,94.117645,reject,
manitowoc co inc/the,manitowoo co inc/the,94.117645,approve,manitowoc co inc/the
beigi foton motor,beiqi foton motor,94.117645,approve,beiqi foton motor
bucher industries,buhler industries,94.117645,reject,
hyundai engineering & construction,hyundai engineering h construction,94.117645,approve,hyundai engineering & construction
gazprom neft pjsc,gazprom nett pjsc,94.117645,approve,gazprom neft pjsc
rm2 international,rpm international,94.117645,reject,
dangsung chemical,dongsung chemical,94.117645,approve,dongsung chemical
yuki gosei kogyo,yuki goser kogyo,93.75,approve,yuki gosei kogyo
beijing shougang construction,berjing shougang,93.75,reject,
aluminum corp of china,alumnium corp of china,93.75,approve,aluminum corp of china
formosa plastics,formusa plastics,93.75,approve,formosa plastics
miu aero engines,mtu aero engines,93.75,approve,mtu aero engines
dai hippon toryo,dai nippon toryo,93.75,approve,dai nippon toryo
beijing shougang,berjing shougang,93.75,approve,beijing shougang
claveland-cliffs,cleveland-cliffs,93.75,approve,cleveland-cliffs
jmc electronics,umc electronics,93.333336,reject,
pelabuhan indonesia iii persero pt,pelabuhan indonesia iv persero pt,93.333336,reject,
dae dong steel,daedong,93.333336,reject,
shenzhen h&t intelligent control,shenzhen yitoa intelligent control,93.333336,reject,
maire techimont,maire tecnimont,93.333336,approve,maire tecnimon
h green power,h2 green steel,93.333336,reject,
hanma technology,hna technology,93.333336,reject,
alco ltd/canada,atco ltd/canada,93.333336,reject,
anji technology,kaji technology,93.333336,reject,
swancor holding,swandor holding,93.333336,approve,swancor holding
windershall dea,wintershall dea,93.333336,approve,wintershall dea
vietsovpetra jv,vietsovpetro jv,93.333336,approve,vietsovpetro jv
yunnam chihong zinckgermanium,yunnan chihong zinc&germanium,93.10345,approve,yunnan chihong zinc&germanium
taeyoung engineering & construction,young hwa construction & engineering,92.95775,reject,
stl technology,tcl technology,92.85714,reject,
changqing changar automobile,chongqing changan automobile,92.85714,approve,chongqing changan automobile
tiangi lithium,tianqi lithium,92.85714,approve,tianqi lithium
cie automotive,ise automotive,92.85714,reject,
konecranes dyj,konecranes oyj,92.85714,approve,konecranes oyj
taita chemical,tata chemicals,92.85714,reject,
constellium se,constelluum se,92.85714,approve,constellium se
gcl technology,tcl technology,92.85714,reject,
power engineering consulting jsc,power engineering consulting jsc no 4,92.753624,reject,
mercedes-banz,mercedes-benz,92.30769,approve,mercedes-benz
hyosung advanced materials,pi advanced materials,92.30769,reject,
iochpe maxion,tochpe maxion,92.30769,approve,iochpe maxion
wacker chemic,wacker chemie,92.30769,approve,wacker chemie
fuji electric,xuji electric,92.30769,reject,
iintasa,intasa,92.30769,approve,intasa
morgan advanced materials,pi advanced materials,92.30769,reject,
petroleos mexicanos,petroleos mexicarios,92.30769,approve,petroleos mexicanos
daechang steel,daehan steel,92.30769,reject,
enel destribucion peru sma,enel distribucion peru saa,92.30769,approve,enel distribucion peru saa
nichia,nichias,92.30769,reject,
osung advanced materials,pi advanced materials,92.30769,reject,
lianyuan iron & steel,lingyuan iron & steel,92.30769,reject,
larsen & toubra,larsen & toubro,92.30769,approve,larsen & toubro
ansteel engineering technology,baosteel engineering & technology,92.06349,reject,
pingdingshan tianan coal mining,pingdingshan tratian coal mining,92.06349,approve,pingdingshan tianan coal mining
qatar electricity & water co qsc,qatar general electricity & water,92.0,reject,
hota industrial manufacturing,showa manufacturing,91.89189,reject,
cngr advanced material,ev advanced material,91.89189,reject,
ev advanced material,highbroad advanced material hefei,91.89189,reject,
formosa bp chemicals,formosa chemicals & fibre,91.89189,reject,
esco technologies,vitesco technologies,91.89189,reject,
changing wanli new energy,chongqing wanli new energy,91.89189,approve,chongqing wanli new energy
dongkuk industries,donglauk industries,91.89189,approve,dongkuk industries
gs engineering & construction,sambu engineering & construction,91.803276,reject,
taho kinzoku,toho kinzoku,91.666664,approve,toho kinzoku
karelgaz 0ao,karelgaz dao,91.666664,approve,karelgaz dao
transportadora de gas del sur,transportadora gas del norte,91.666664,reject,
kl chemicals,sk chemicals,91.666664,reject,
izhstal ojsc,izistal ojsc,91.666664,approve,izhstal ojsc
taki chemical,tk chemical,91.666664,reject,
cemex sab de cv,comex sab de cv,91.666664,approve,cemex sab de cv
tokyu construction,toyo construction,91.42857,reject,
faw volkswagen automotive,saic volkswagen automotive,91.304344,reject,
neo performance materials,tridomain performance materials pt,91.304344,reject,
neo performance materials,styrenix performance materials,91.304344,reject,
tunghsu azure renewable energy,tungles azure renewable energy,91.304344,approve,tunghsu azure renewable energy
tomoe engineering,toyo engineering,90.90909,reject,
nikkon,nikon,90.90909,approve,nikon
nippon electric glass,nippon gas,90.90909,reject,
nitta,nittan,90.90909,reject,
polar,polarx,90.90909,reject,
orano,organo,90.90909,reject,
china energy investment corp td,state power investment corp shanxi aluminum,90.90909,reject,
daishin chemical,daistrin chemical,90.90909,approve,daishin chemical
samsung sdi,samsung sdt,90.90909,approve,samsung sdi
samsung sds,samsung sdt,90.90909,approve,samsung sds
sangbo,sango,90.90909,reject,
sankyu,sanyu,90.90909,reject,
tabkyung bk,taekyung bk,90.90909,approve,taekyung bk
china north industries,china south industries,90.90909,reject,
korea line,korean air lines,90.90909,reject,
shanxi coal international energy,shauxi coal international energy,90.90909,approve,shanxi coal international energy
mannoh industrial,sanoh industrial,90.90909,reject,
anji technology,hangjin technology,90.90909,reject,
hmt xiamen new technical materials,xtc new energy materials xiamen,90.90909,reject,
amada,yamada,90.90909,reject,
kg chemical,tk chemical,90.90909,reject,
toyo gosei,toyoda gosei,90.90909,reject,
snc-lavalin,snk-lavalin,90.90909,approve,snc-lavalin
mtar technologies,tat technologies,90.90909,reject,
samsung sdi,samsung sds,90.90909,reject,
toami,tonami,90.90909,approve,toami
sif holding,snf holding,90.90909,reject,
sichian new energy power,sichuan new energy power,90.90909,approve,sichuan new energy powe
gujarat narmada valley fertilizers & chemicals,gujarat state fertilizers & chemicals,90.625,reject,
china petroleum & chemical,china petroleum of chemical,90.56604,approve,china petroleum & chemical
mitsubishi chemical,mitsubishi gas chemical,90.47619,reject,
mory industries,toray industries,90.32258,reject,
api technologies,gi technologies,90.32258,reject,
rsea engineering,sia engineering,90.32258,reject,
nari technology,naura technology,90.32258,reject,
intai technology,nari technology,90.32258,reject,
ginar technology,nari technology,90.32258,reject,
gi technologies,gsd technologies,90.32258,reject,
edom technology,eroom technology,90.32258,reject,
hana technology,nanya technology,90.32258,reject,
bk technologies,bwx technologies,90.32258,reject,
topy industries,toray industries,90.32258,reject,
hoei metal,toei metal industry,90.0,approve,hoei metal
tgc-1 pjsc,tgc-2 pjsc,90.0,reject,
powerchip technology,powertech technology,90.0,reject,
shenzhen sunrise new energy,shenzier sunrise new energy,90.0,approve,shenzhen sunrise new energy
mge energy,oge energy,90.0,reject,
k&o energy,kco energy,90.0,reject,
baic motor,saic motor,90.0,reject,
sfc energy,sgc energy,90.0,reject,
liao ning oxiranchern,liaoning oxiranchem,90.0,approve,liaoning oxiranchem
ltk svobodny sokol 000,ltk svobodny sokol ooo,90.0,approve,ltk svobodny sokol ooo
wixi taiji industry,wuxi taiji industry,90.0,approve,wuxi taiji industry
oc oerlikon,ooerlikon,90.0,approve,ooerlikon
dgk-2 pjsc,ogk-2 pjsc,90.0,reject,
comex sab de cv,comex sab dk cv,100.0,approve,cemex sab de cv
sibanye stillwater,stillwater,100.0,approve,sibanye stillwater
blue bird,blue bird tbk pt,100.0,approve,blue bird
linde,linde plc/old,100.0,approve,linde
mmg,mmg lkl,100.0,reject,
kobelco wire,kobelco wire cd,100.0,approve,kobelco wire
k+s,k+s ng,100.0,approve,k+s
stellantis,stellantis hv,100.0,reject,
singanore ing corn pte,singanore ng corn pte,97.674416,approve,singanore ing corn pte
kosogorski metallurgicheski zavod dao,kosogorski metallurgicheski zavod oao,97.297295,approve,kosogorski metallurgicheski zavod oao
ossen innovation,tossen innovation,96.969696,reject,
to technology,tol technology,96.296295,approve,tol technology
hanwina aerospace,hauwina aerospace,94.117645,approve,hanwha aerospace
sankei chemicals,sanker chemicals,93.75,approve,sankei chemicals
ta chen stainless pipe,ta chen stamless pipe,93.023254,approve,ta chen stainless pipe
hauwina aerospace,thanwina aerospace,91.42857,approve,hanwha aerospace
