company_a,company_b,similarity_score,decision,canonical_name
dongfeng nissan diesel motor,nissan motor,100.0,reject,
astra otoparts lbk pt,astra otoparts tbk pt,100.0,approve,astra otoparts tbk pt
atlas honda,honda atlas cars pakistan,100.0,reject,
doosan,doosan bobcat,100.0,reject,
doosan,doosan enerbility,100.0,reject,
shanxi coal import & export,shanxi coal international energy,100.0,reject,
china national nuclear,china national nuclear power,100.0,reject,
shanxi coal international energy,shanxi coking coal energy,100.0,reject,
hbis,hbis resources,100.0,reject,
zhejiang power new energy,zhejiang weixing new building materials,100.0,reject,
asia pacific wire & cable,electric wire & cable,100.0,reject,
baker hughes,baker hughes do brasil ltda,100.0,reject,
beijing shougang alliance of xingang science & trade,shougang,100.0,reject,
eagle,huizhou china eagle electronic technology,100.0,reject,
doosan,doosan fuel cell,100.0,reject,
dsr,dsr wire,100.0,reject,
china national offshore oil,national oil,100.0,reject,
china national petroleum,national petroleum,100.0,reject,
china national petroleum,vietnam national petroleum,100.0,reject,
dp world ltd/united arab emirates,emirates,100.0,reject,
dow,dow corning toray,100.0,reject,
dong anh electrical equipment corp jsc,electrical equipment jsc,100.0,reject,
dl,dl f&c,100.0,reject,
sk,sk ie technology,100.0,reject,
dl,dl e&c,100.0,reject,
esab seah,seah,100.0,reject,
formosa sumco technology,sumco,100.0,reject,
canon,canon marketing japan,100.0,reject,
fuji furukawa engineering & construction,furukawa,100.0,reject,
beijing shougang construction,beijing shougang oxygen factory,100.0,reject,
flame,shanxi blue flame holding,100.0,reject,
faw volkswagen automotive,volkswagen,100.0,reject,
beijing shougang construction,beijing shougang lujiashan limestone mine,100.0,reject,
faw jiefang,faw jiefang qingdao automobile,100.0,reject,
exedy,exedy vietnam,100.0,reject,
alumnium corp of china,power construction corp of china,100.0,reject,
escorts kubota,kubota,100.0,reject,
cgn yulchon generation,yulchon,100.0,reject,
chandra asri petrochemical ibk pt,chandra asri petrochemical tbk pt,100.0,approve,chandra asri petrochemical tbk pt
chang wah electromaterials,chang wah technology,100.0,reject,
fujikura,fujikura composites,100.0,reject,
furukawa,furukawa battery co ltd/the,100.0,reject,
fujikura,fujikura kasei coating tianjin,100.0,reject,
adient,changchun faway adient automotive metal component,100.0,reject,
beijing shougang refractory & metallurgical burden,shougang,100.0,reject,
