node,industry,country,in_degree,out_degree,word_count,decision
state grid corp of china,Electric Utilities,China,17,25,5,
state grid henan electric power,Electric Utilities,China,1,0,5,
state grid hubei electric power,Electric Utilities,China,2,0,5,
state grid integrated energy service,Electric Utilities,China,1,0,5,
state grid jiangxi electric power,Electric Utilities,China,1,0,5,
state grid jilin electric power,Electric Utilities,China,1,0,5,
state grid shandong electric power,Electric Utilities,China,2,0,5,
state grid shanghai municipal electric power,Electric Utilities,China,2,0,6,
state grid shanxi electric power,Electric Utilities,China,1,0,5,
state grid sichuan electric power,Electric Utilities,China,5,32,5,
state nuclear electric power planning design & research institute,Engineering & Construction,China,1,0,9,
state of south australia department of planning transportation,Transportation & Logistics,Australia,1,0,8,remove
state oil co of the azerbaijan republic,Oil & Gas Producers,UK,2,5,7,
state power investment corp shanxi aluminum,Metals & Mining,China,1,0,6,
steel pipe industry of indonesia pt,Steel,Indonesia,9,12,6,
sufa technology industry co ltd cnnc,Machinery,China,1,0,6,
sumi indo kabel tbk pt,Electrical Equipment,Indonesia,1,0,5,
supreme cable manufacturing corp tbk pt,Electrical Equipment,Indonesia,2,0,6,
surtidora de alambres y aceros del centro sa de cv,Steel,Spain,1,0,10,
surya esa perkasa tbk pt,Oil & Gas Producers,Indonesia,1,0,5,
suzhou jin hong shun auto parts,Automotive,China,1,0,6,
suzhou shougang longxing steel processing distribution,Steel,China,1,0,6,
ta ya electric wire & cable,Electrical Equipment,Taiwan,4,0,6,
tachia yung ho machine industry,Industrial Intermediate Prod,Taiwan,5,2,5,
tai-i electric wire & cable,Industrial Intermediate Prod,Taiwan,2,0,5,
takigami steel construction co ltd/the,Engineering & Construction,Japan,2,3,5,
talleres y aceros sa de cv,Steel,Mexico,1,0,6,
tan chong motor holdings bhd,Automotive,Malaysia,1,0,5,
tangshan beishiti iron & steel group fufeng steel,Steel,China,1,0,8,
tatsuta electric wire and cable,Electrical Equipment,Japan,2,9,5,
tcl rechi huizhou refrigeration equipment,Machinery,China,1,0,5,
tcl zhonghuan renewable energy technology,Renewable Energy,China,2,0,5,
tcorrugados y trefilados sa de cv,Steel,Spain,1,0,6,
telkom indonesia persero tbk pt,Telecommunications,Indonesia,2,0,5,
tembaga mulia semanan tbk pt,Metals & Mining,Indonesia,1,0,5,
terna - rete elettrica nazionale,Electric Utilities,Italy,2,0,5,
ternium mexico sa de cv,Steel,Mexico,2,1,5,
thai binh petrovietnam oil jsc,Oil & Gas Producers,Vietnam,1,1,5,
thai cold rolled steel sheet pcl,Steel,Thailand,1,0,6,
thai rung union car pcl,Automotive,Thailand,1,0,5,
thang long metal wares jsc,Industrial Intermediate Prod,Vietnam,3,1,5,
third construction co ltd of china construction eighth engineering division,Engineering & Construction,China,1,0,10,
thu dau mot water jsc,Gas & Water Utilities,Vietnam,1,0,5,
thu duc electro mechanical jsc,Electrical Equipment,Vietnam,1,1,5,
thu duc trading and import export jsc,Oil & Gas Producers,Vietnam,2,2,7,
tianjin 712 communication & broadcasting,Technology Hardware,China,1,0,5,
tianjin b&m science & technology joint-stock,Chemicals,China,3,3,6,
tianjin futong information science & technology,Technology Hardware,China,1,0,6,
tianjin guoan mengguli new materials science & technology,Metals & Mining,China,1,0,8,
tien len steel corp jsc,Steel,Vietnam,1,0,5,
tifico fiber indonesia tbk pt,Chemicals,Indonesia,2,0,5,
tinplate co of india ltd/the,Steel,India,1,0,5,
tns energo nizhny novgorod pjsc,Electric Utilities,Russia,1,0,5,
tofas turk otomobil fabrikasi as,Automotive,Turkey,1,0,5,
top energy co ltd shanxi,Electric Utilities,China,1,0,5,
toyota peugeot citroen automobile czech sro,Automotive,Japan,1,0,6,
tradeco infraestructura sa de cv,Engineering & Construction,Spain,1,0,5,
truper herramientas sa de cv,Machinery,Spain,2,0,5,
trw sun steering wheels pvt,Automotive,India,1,0,5,
umm al houl power qpsc,Electric Utilities,Qatar,2,0,5,
unggul indah cahaya tbk pt,Chemicals,Indonesia,5,0,5,
union chemicals lanka,Chemicals,Sri Lanka,1,0,3,
union community,Electrical Equipment,South Korea,1,0,2,remove
union fenosa gas,Gas & Water Utilities,Spain,1,0,3,
union tool,Machinery,Japan,1,0,2,
united co rusal international pjsc,Metals & Mining,Russia,3,11,5,
united renewable energy co ltd/taiwan,Renewable Energy,Taiwan,2,0,5,
usinas siderurgicas de minas gerais sa usiminas,Steel,Brazil,10,5,7,
vacom vakuum komponenten & messtechnik,Electrical Equipment,Germany,1,0,5,
valloured solucoes tubulares do brasil,Steel,Spain,1,0,5,
vancouver airport authority,Transportation & Logistics,Canada,1,0,3,
viet steel trading & manufacturing,Steel,Vietnam,1,1,5,
vietnam engine & agricultural machinery,Machinery,Vietnam,1,0,5,
vietnam germany steel pipe jsc,Industrial Intermediate Prod,Vietnam,1,0,5,
vinacomin - halam coal jsc,Metals & Mining,Vietnam,1,0,5,
vinacomin coal import & export jsc,Metals & Mining,Vietnam,1,0,6,
virtue dragon nickel industry pt,Metals & Mining,Indonesia,1,0,5,
vung ang 2 thermal power jsc,Electric Utilities,Vietnam,1,0,6,
w&g beteiligungs-gmbh & co kg,Oil & Gas Producers,Germany,1,0,5,
wanhua chemical group co ut!,Chemicals,China,2,0,5,
waskita beton precast tbk pt,Construction Materials,Indonesia,1,0,5,
waskita karya persero tbk pt,Engineering & Construction,Indonesia,6,8,5,
wijaya karya bangunan gedung tbk pt,Engineering & Construction,Indonesia,2,0,6,
wijaya karya beton tbk pt,Construction Materials,Indonesia,2,0,5,
wijaya karya persero tbk pt,Engineering & Construction,Indonesia,7,0,5,
wuhan pingmei wugang joint coking,Chemicals,China,1,0,5,
wuhu qinhui automobile fittings manufacturing,Automotive,China,1,0,5,
xinjiang beiken energy engineering stock,Oil & Gas Services & Equip,China,1,0,5,
xtc new energy materials xiamen,Chemicals,China,2,1,5,
yancheng lianxin iron & steel,Steel,China,1,0,5,
yangtze optical fibre & cable joint stock,Technology Hardware,China,1,0,7,
young hwa construction & engineering,Engineering & Construction,South Korea,1,0,5,
yung chi paint & varnish manufacturing,Chemicals,Taiwan,6,18,6,
yunnan dianzhong industrial development group co l,Transportation & Logistics,China,1,0,7,
yunnan luoping zinc & electricity,Metals & Mining,China,2,0,5,
zf sachs suspension mexico sa de cv,Automotive,Spain,1,0,7,
zhangjiagang dongbu high technology metal,Steel,China,1,0,5,
zhangjiakou xuanlong high speed wire,Steel,China,1,0,5,
zhejiang asia-pacific mechanical & electronic,Automotive,China,4,0,5,
zhejiang dewei hard alloy manufacturing,Industrial Intermediate Prod,China,1,0,5,
zhejiang feida environmental science & technology,Machinery,China,1,0,6,
zhejiang geely automobile parts purchasing,Automotive,China,1,0,5,
zhejiang jiahua energy chemical industry,Chemicals,China,3,20,5,
zhejiang jingsheng mechanical & electrical,Semiconductors,China,1,0,5,
zhejiang kingland pipeline & technologies,Steel,China,1,44,5,
zhejiang vie science & technology,Automotive,China,1,0,5,
zhejiang zhaofeng mechanical & electronic,Automotive,China,1,0,5,
zhongping energy chemical group machinery manufacturing,Machinery,China,1,0,6,
zhuhai shenneng hongwan electric power,Electric Utilities,China,1,0,5,
zhuoshen non-ferrous metals plant & equipment,Machinery,China,1,0,6,
zoomlion heavy industry science and technology,Machinery,China,2,0,6,
