node,industry,country,in_degree,out_degree,word_count,decision
chugoku electric power co inc/the,Electric Utilities,Japan,7,0,5,
chung hwa chemical industrial works,Chemicals,Taiwan,1,4,5,
chung-hsin electric & machinery manufacturing,Engineering & Construction,Taiwan,7,0,5,
cia de minas buenaventura saa,Metals & Mining,Argentina,1,0,5,
cia de minas bueraaventura sm,Metals & Mining,Brazil,1,0,5,
cia mexicana de exploraciones sa de cv,Oil & Gas Services & Equip,Spain,1,0,7,
cia minera autlan sab de cv,Metals & Mining,Mexico,4,0,6,
cie generale des etablissements michelin sca,Automotive,France,5,0,6,
cnsig inner mongolia chemical industry,Chemicals,China,5,0,5,
commercial aircraft corp of china,Aerospace & Defense,China,2,0,5,
communication cable systems indonesia tbk,Electrical Equipment,Indonesia,1,0,5,
concesionaria vuela cia de aviacion,Transportation & Logistics,USA,1,0,5,
consultoria en obra sa de cv,Engineering & Construction,Spain,1,0,6,
controladora vuela cia de aviacion sab de cv,Transportation & Logistics,Mexico,2,0,8,
corp mackinal del cobre de chile,Metals & Mining,Chile,6,0,6,
coutinho & ferrostaal gmbh & co kg,Steel,Germany,1,0,7,
csp co siderurgica do pecem,Steel,Brazil,3,2,5,
da nhim-ham thuan-da mi hydro power jsc,Electric Utilities,Vietnam,3,0,7,
daeduck electronics co ltd / new,Technology Hardware,South Korea,1,0,6,
dah san electric wire & cable,Electrical Equipment,Taiwan,2,0,6,
dainichiseika color & chemicals manufacturing,Chemicals,Japan,4,0,5,
dana brata luhur tbk pt,Metals & Mining,Indonesia,1,0,5,
dangfeng electronic technology co lb,Automotive,China,3,0,5,
dayton forging & heat treating co/the,Industrial Intermediate Prod,USA,1,0,6,
del paso pipe & steel,Steel,USA,1,0,5,
delta dunia makmur tbk pt,Metals & Mining,Indonesia,5,0,5,
devlet hava meydanlari isletmesi genel mudurlugu,Transportation & Logistics,Turkey,1,0,6,
dian swastatika sentosa tbk pt,Metals & Mining,Indonesia,3,0,5,
dinh vu petroleum service port jsc,Transportation & Logistics,Vietnam,1,1,6,
dong anh electrical equipment corp jsc,Electrical Equipment,Vietnam,2,0,6,
dongguan mentech optical & magnetic,Electrical Equipment,China,1,0,5,
dongkuk steel mill co ltd/new,Steel,South Korea,1,3,5,
dr ing hc f porsche,Automotive,Germany,11,1,5,
drainage services department,Machinery,Hong Kong,1,0,3,remove
electricity generating authority of thailand,Electric Utilities,Thailand,2,0,5,
emil loeffelhardt gmbh & co kg,Electrical Equipment,Germany,1,0,6,
empresa electricidad del peru - electroperu,Electric Utilities,Spain,1,0,6,
empresa siderurgica del peru saa,Steel,Peru,1,0,5,
energi mega persada tbk pt,Oil & Gas Producers,Indonesia,3,0,5,
evergreen international storage & transport,Transportation & Logistics,Taiwan,2,0,5,
farba otomotiv aydinlatma ve plastik fabrikalari as,Electrical Equipment,Turkey,1,0,7,
ferdinand bilstein gmbh + co kg,Automotive,Germany,1,0,6,
ferre barniedo sa de cv,Steel,Spain,1,0,5,
ferrocarril mexicano sa de cv,Transportation & Logistics,Mexico,1,1,5,
feuer powertrain gmbh & co kg,Automotive,Germany,1,0,6,
fomento de construcciones y contratas,Engineering & Construction,Spain,2,0,5,
forja de monterrey sa de cv,Industrial Intermediate Prod,Spain,1,0,6,
formosan union chemical,Chemicals,Taiwan,3,2,3,
fraport ag frankfurt airport services worldwide,Transportation & Logistics,Germany,1,0,6,
frisa forjados sa de cv,Chemicals,Mexico,1,0,5,
fuji furukawa engineering & construction,Engineering & Construction,Japan,2,0,5,
fujian nanping aluminium sheet & strip,Metals & Mining,China,1,0,6,
fulin plastic industry cayman holding,Industrial Intermediate Prod,Vietnam,1,0,5,
g collado sab de cv,Steel,Mexico,1,0,5,
ganfeng lithium group co lfd,Chemicals,China,5,0,5,
