node,industry,country,in_degree,out_degree,flag_reason,decision
amandelbult,Mine,South Africa,0,1,low degree,
amatei,Industrial Intermediate Prod,Japan,1,0,low degree,
ambatovy minerals,Metals & Mining,Madagascar,1,0,low degree,
ambuja cements,Construction Materials,India,1,0,low degree,
amecc mechanical construction jsc,Engineering & Construction,Myanmar,1,0,low degree,
ameren,Electric Utilities,USA,1,0,low degree,
america movil sab de cv,Telecommunications,Mexico,1,0,low degree,
american airlines,Transportation & Logistics,USA,1,0,low degree,
american commercial lines,Transportation & Logistics,USA,1,0,low degree,
american metals,Steel,USA,1,0,low degree,
american steel,Industrial Intermediate Prod,USA,1,0,low degree,
americas gold & silver,Metals & Mining,Canada,1,0,low degree,
ametek,Electrical Equipment,USA,1,0,low degree,
amman mineral internasional pt,Metals & Mining,Indonesia,1,0,low degree,
ammo,Aerospace & Defense,USA,1,0,low degree,
andhra sugars ltd/the,Chemicals,India,1,0,low degree,
andritz,Machinery,Austria,1,0,low degree,
aneka jaringan holdings bhd,Engineering & Construction,Malaysia,1,0,low degree,
angang construction consortium,Engineering & Construction,Hong Kong,1,0,low degree,
angang group hong kong,Steel,Hong Kong,1,0,low degree,
angkasa pura ii pt persero,Transportation & Logistics,Indonesia,1,0,low degree,
anglian water services,Gas & Water Utilities,UK,1,0,low degree,
anglogold ashanti,Metals & Mining,UK,1,0,low degree,
anhui anfu battery technology,Automotive,China,1,0,low degree,
anhui ankai automobile,Transportation Equipment,China,1,0,low degree,
anhui guangxin agrochemical,Chemicals,China,1,0,low degree,
anhui heli,Machinery,China,1,0,low degree,
anhui honglu steel construction,Engineering & Construction,China,1,0,low degree,
anhui jiangnan chemical industry,Chemicals,China,1,0,low degree,
anhui kelihua chemical & industry,Chemicals,China,1,0,low degree,
anhui province energy,Electric Utilities,China,1,0,low degree,
anhui shenjian new materials,Chemicals,China,1,0,low degree,
anhui tongfeng electronics,Semiconductors,China,1,0,low degree,
anhui xinke new materials,Metals & Mining,China,1,0,low degree,
anhui zhongding sealing parts,Industrial Intermediate Prod,China,1,0,low degree,
animum guangpoin agrochemical,Chemicals,China,1,0,low degree,
anji technology,Renewable Energy,Taiwan,1,0,low degree,
ansteel engineering technology,Engineering & Construction,China,1,0,low degree,
ansteel group mining,Metals & Mining,China,1,0,low degree,
aomi construction,Engineering & Construction,Japan,1,0,low degree,
aoyama special steel,Steel,Japan,1,0,low degree,
ap emissions technologies,Automotive,USA,1,0,low degree,
apac opto electronics,Technology Hardware,Taiwan,1,0,low degree,
apam,Automotive,South Korea,1,0,low degree,
apatityenergo oao,Renewable Energy,Russia,1,0,low degree,
api technologies,Aerospace & Defense,USA,1,0,low degree,
apogee enterprises,Construction Materials,USA,1,0,low degree,
aqua-terra oilfield equipment & services pte,Machinery,Singapore,1,0,low degree,
aramco trading,Transportation & Logistics,Saudi Arabia,1,0,low degree,
aravali power co pvt,Electric Utilities,India,1,0,low degree,
arcadia biosciences,Chemicals,USA,1,0,low degree,
arcelormittal kryvyi rih pjsc,Steel,Ukraine,1,0,low degree,
arcelormittal south africa,Steel,South Africa,1,0,low degree,
arconic,Metals & Mining,USA,1,0,low degree,
arcosa,Engineering & Construction,USA,1,0,low degree,
areva,Electrical Equipment,Brazil,1,0,low degree,
arise ab,Electric Utilities,Sweden,1,0,low degree,
arkema hydrogen peroxide,Chemicals,China,1,0,low degree,
arkha jayanti persada tbk,Steel,Indonesia,1,0,low degree,
arlo technologies,Technology Hardware,USA,1,0,low degree,
arrival,Transportation Equipment,Luxembourg,1,0,low degree,
asahi diamond industrial,Machinery,Japan,1,0,low degree,
asahi kasei mitsubishi chemical ethylene,Chemicals,Japan,1,0,low degree,
asahi-seiki manufacturing,Industrial Intermediate Prod,Japan,1,0,low degree,
asahipen,Chemicals,Japan,1,0,low degree,
ascom holding,Technology Hardware,Switzerland,1,0,low degree,
asia plastic recycling holding,Chemicals,China,1,0,low degree,
asia world engineering & construction,Engineering & Construction,China,1,0,low degree,
asj,Telecommunications,Japan,1,0,low degree,
asl airlines france,Transportation & Logistics,France,1,0,low degree,
asl aviation holdings dac,Transportation & Logistics,Ireland,1,0,low degree,
asm international,Semiconductors,Netherlands,1,0,low degree,
assam gas,Oil & Gas Services & Equip,India,1,0,low degree,
associated industries china,Technology Hardware,Taiwan,1,0,low degree,
astec industries,Machinery,USA,1,0,low degree,
asti,Automotive,Japan,1,0,low degree,
astino bhd,Industrial Intermediate Prod,Malaysia,1,0,low degree,
astra/cfx,Transportation & Logistics,USA,1,0,low degree,
astronics,Aerospace & Defense,USA,1,0,low degree,
ateliers mecaniques d indonesie tbk pt,Electrical Equipment,Indonesia,1,0,low degree,
athabasca minerals,Metals & Mining,Canada,1,0,low degree,
atlanta airlines terminal,Transportation & Logistics,USA,1,0,low degree,
atlas air,Transportation & Logistics,USA,1,0,low degree,
atlas air worldwide,Transportation & Logistics,USA,1,0,low degree,
atlas consolidated mining & development,Metals & Mining,Philippines,1,0,low degree,
atlas copco ab,Machinery,Sweden,1,0,low degree,
atlas honda,Automotive,Pakistan,1,0,low degree,
atlas resources tbk pt,Metals & Mining,Indonesia,1,0,low degree,
atmos energy,Gas & Water Utilities,USA,1,0,low degree,
atomic energy of canada,Electric Utilities,USA,1,0,low degree,
atrack technology,Technology Hardware,Taiwan,1,0,low degree,
atsumitec,Automotive,Japan,1,0,low degree,
auckland international airport,Transportation & Logistics,New Zealand,1,0,low degree,
auk,Semiconductors,South Korea,1,0,low degree,
aurelia metals,Metals & Mining,Australia,1,0,low degree,
aurona industries,Technology Hardware,Taiwan,1,0,low degree,
austin engineering,Machinery,Australia,1,0,low degree,
austral gold,Metals & Mining,Australia,1,0,low degree,
austral resources,Metals & Mining,Australia,1,0,low degree,
australia pacific airports,Transportation & Logistics,Australia,1,0,low degree,
australian mines,Metals & Mining,Australia,1,0,low degree,
australian postal,Transportation & Logistics,Australia,1,0,low degree,
auto,Automotive,USA,1,0,low degree,
autoridad portuaria de barcelona,Transportation & Logistics,Spain,1,0,low degree,
auxim de mexico s de rl de cv,Automotive,Mexico,1,0,low degree,
avantor,Medical Equipment & Devices,USA,1,0,low degree,
avantus clean energy,Renewable Energy,USA,1,0,low degree,
avertronics,Electrical Equipment,Taiwan,1,0,low degree,
avery dennison,Chemicals,USA,1,0,low degree,
avic heavy machinery,Industrial Intermediate Prod,China,1,0,low degree,
avic xi'an aircraft industry,Aerospace & Defense,China,1,0,low degree,
avidian gold,Metals & Mining,Canada,1,0,low degree,
avinor as,Transportation & Logistics,Norway,1,0,low degree,
avio,Aerospace & Defense,Italy,1,0,low degree,
avions de transport regional gie,Aerospace & Defense,France,1,0,low degree,
avision,Technology Hardware,Taiwan,1,0,low degree,
avl schrick,Machinery,Germany,1,0,low degree,
axiom ltd/uae,Technology Hardware,UAE,1,0,low degree,
axiom space,Aerospace & Defense,USA,1,0,low degree,
az-com maruwa,Transportation & Logistics,Japan,1,0,low degree,
azimut benetti,Transportation Equipment,Italy,1,0,low degree,
azul,Transportation & Logistics,Brazil,1,0,low degree,
azule energy,Oil & Gas Producers,UK,1,0,low degree,
azure power global,Electric Utilities,Mauritius,1,0,low degree,
azz,Industrial Intermediate Prod,USA,1,0,low degree,
b grimm power pcl,Electric Utilities,Thailand,1,0,low degree,
badger meter,Electrical Equipment,USA,1,0,low degree,
bafokeng rasimone,Mine,South Africa,0,1,low degree,
baishan huasheng thermal power,Electric Utilities,China,1,0,low degree,
bajaj auto,Automotive,India,1,0,low degree,
baker hughes do brasil ltda,Machinery,Brazil,1,0,low degree,
bakrie telecom tbk pt,Telecommunications,Indonesia,1,0,low degree,
balaji amines,Chemicals,India,1,0,low degree,
balfour beatty,Engineering & Construction,UK,1,0,low degree,
bamboo capital group jsc,Engineering & Construction,Vietnam,1,0,low degree,
bamesa aceros sl,Steel,Spain,1,0,low degree,
bando chemical industries,Industrial Intermediate Prod,Japan,1,0,low degree,
bangalore metro rail,Transportation & Logistics,India,1,0,low degree,
bangchak sriracha pcl,Oil & Gas Producers,Thailand,1,0,low degree,
bangkok aviation fuel services pcl,Transportation & Logistics,Thailand,1,0,low degree,
bangun karya pratama lestari pt,Metals & Mining,Indonesia,1,0,low degree,
baogang baiyun iron mine large earth & stone work,Engineering & Construction,China,1,0,low degree,
baoji titanium industry,Steel,Steel,1,0,low degree,
baosteel desheng stainless steel,Steel,China,1,0,low degree,
baosteel group metallurgy comprehensive utilization,Metals & Mining,China,1,0,low degree,
baosteel group xinjiang bayi iron & steel,Steel,China,1,0,low degree,
baosteel metal,Steel,China,1,0,low degree,
baosteel resources international,Steel,Hong Kong,1,0,low degree,
