company_a,company_b,similarity_score,count_a,count_b
kaiser aluminium,kaiser aluminum,96.77419,4,1
alumium corp of china,alumnium corp of china,96.77419,10,10
aluminum corp of china,alumium corp of china,96.77419,39,10
bayan resources tbk pt,ibayan resources tbk pt,96.77419,23,1
terna - rete eletirica nazionale,terna - rete elettrica nazionale,96.666664,2,1
shuangliang eco-energy systems,shuanglians eco-energy systems,96.666664,1,1
hengdian group dmegc magnetics,hengdian group dmego magnetics,96.666664,2,1
cec environmental protection,cecep environmental protection,96.55173,2,1
keisei electric railway,tkeisei electric railway,96.55173,2,1
kawasaki heavy industries,skawasaki heavy industries,96.55173,18,1
kmi wire & cable tbk pt,skmi wire & cable tbk pt,96.55173,3,2
yunnam chihong zinc&germanium,yunnam chihong zinckgermanium,96.55173,33,10
yunnam chihong zinc&germanium,yunnan chihong zinc&germanium,96.55173,33,19
china fineblanking technology,chuna fineblanking technology,96.55173,40,2
hana technology,hna technology,96.55173,4,2
angkasa pura i pt,angkasa pura ii pt persero,96.55173,2,1
changqing changan automobile,changqing changar automobile,96.42857,20,12
changqing changan automobile,chongqing changan automobile,96.42857,20,51
bhyundai motor,hyundai motor,96.296295,1,67
to technology,tol technology,96.296295,3,2
nan pao resins chemical,nanpao resins,96.296295,2,1
empresa electrica pehuenche,empresa flectrica pehuenche,96.296295,1,2
hyosung advanced materials,osung advanced materials,96,2,1
suzuki motor,suzuki motors,96,27,1
lyondellbanell industries,lyondellbasell industries,96,11,16
ps mitsubishi construction,ps mitubishi construction,96,3,3
guanggi honda automobile,guangqi honda automobile,95.833336,1,4
shaanxi coal industry,shanxi coal international energy,95.652176,6,4
vestas wind systems a/s,vestas wind systems n/s,95.652176,61,5
south east fuiian motor,south east fujian motor,95.652176,1,3
rangsheng petrochemical,rongsheng petrochemical,95.652176,4,4
shandong human smelting,shandong humon smelting,95.652176,9,8
jolywood suzhou sunwalt,jolywood suzhou sunwatt,95.652176,2,2
san-a obbli,san-ai obbli,95.652176,3,1
multistrada arab sarana tbk pt,multistrada arah sarana tbk pt,95.652176,1,1
thai oil pc,thai oil pcl,95.652176,4,2
chuo spring,churo spring,95.652176,9,7
east nippon expressway,west nippon expressway,95.454544,3,2
taho chemical industry,toho chemical industry,95.454544,17,1
pelabuhan indonesia i persero pt,pelabuhan indonesia iii persero pt,95.454544,1,1
huaneng lancang river hydropower,huarieng lancang river hydropower,95.38461,3,3
sf holding,sif holding,95.2381,3,11
jiangxi special electric mobor,jiangxi special electric motor,95.2381,2,9
cie plastic omnium se,cie plastic ompium se,95.2381,6,6
sf holding,snf holding,95.2381,3,1
myoung shin industrial,shin young,95.2381,1,1
hindusian aeronautics,hindustan aeronautics,95.2381,4,1
long green energy technology,longi green energy technology,95.2381,1,6
philinnines department of transportation,philippines department of transportation,95,1,4
human kaimeite gases,hunan kaimeite gases,95,3,2
leatec fine ceramics,leated fine ceramics,95,2,1
hengli petrochemical,hengyi petrochemical,95,7,1
chsig inner mongolia chemical industry,cnsig inner mongolia chemical industry,95,5,5
empresa nacional del petroleo,empresa nacional diet petroleo,94.91525,3,1
orio tinto,rio tinto,94.73684,1,75
indian oil,oil india,94.73684,67,2
albemarle,albermarle,94.73684,53,1
posco international,posso international,94.73684,64,21
dr ing he f porsche,dr ing ho f porsche,94.73684,12,2
dr ing hc f porsche,dr ing ho f porsche,94.73684,5,2
dr ing hc f porsche,dr ing he f porsche,94.73684,5,12
beijing jingyunbong technology,beijing jingyuntong technology,94.73684,1,1
saic general motors,said general motors,94.73684,8,2
samil c&s,tsamil c&s,94.73684,33,1
hd hyundai,hyundai engineering h construction,94.73684,22,17
vietnam electricity,vietram electricity,94.73684,18,9
transpnevmatika dao,transpnevmatika oao,94.73684,1,1
hd hyundai electric,hyundai engineering h construction,94.73684,1,17
sembcorp industries,semboorp industries,94.73684,1,2
hindalco industries,hindaloo industries,94.73684,3,3
china yangize power,china yangtze power,94.73684,6,26
grupo simec sab de cv,grupo simeo sab de cv,94.44444,30,24
east japan railway,west japan railway,94.44444,12,7
metain investments,metair investments,94.44444,1,10
ding hc f porsche,dr ing hc f porsche,94.44444,1,5
engie energia peru,engik energia peru,94.44444,1,3
dangsung chemical,dongsung chemical,94.117645,7,2
rm2 international,rpm international,94.117645,1,1
gazprom neft pjsc,gazprom nett pjsc,94.117645,1,1
hanwina aerospace,hauwina aerospace,94.117645,14,6
bucher industries,buhler industries,94.117645,1,2
hyundai engineering & construction,hyundai engineering h construction,94.117645,113,17
volkerfitznatrick,volkerfitzpatrick,94.117645,1,1
beigi foton motor,beiqi foton motor,94.117645,5,7
manitowoc co inc/the,manitowoo co inc/the,94.117645,1,1
gm korea,gmb korea,94.117645,7,2
esco technologies,exco technologies,94.117645,1,1
beijing shougang,berjing shougang,93.75,84,5
miu aero engines,mtu aero engines,93.75,7,1
claveland-cliffs,cleveland-cliffs,93.75,3,25
dai hippon toryo,dai nippon toryo,93.75,6,3
formosa plastics,formusa plastics,93.75,55,23
yuki gosei kogyo,yuki goser kogyo,93.75,2,6
aluminum corp of china,alumnium corp of china,93.75,39,10
beijing shougang construction,berjing shougang,93.75,1,5
sankei chemicals,sanker chemicals,93.75,3,2
vietsovpetra jv,vietsovpetro jv,93.333336,2,2
windershall dea,wintershall dea,93.333336,2,1
swancor holding,swandor holding,93.333336,1,1
anji technology,kaji technology,93.333336,1,1
alco ltd/canada,atco ltd/canada,93.333336,49,15
hanma technology,hna technology,93.333336,4,2
jmc electronics,umc electronics,93.333336,1,3
h green power,h2 green steel,93.333336,3,2
maire techimont,maire tecnimont,93.333336,5,1
shenzhen h&t intelligent control,shenzhen yitoa intelligent control,93.333336,1,1
dae dong steel,daedong,93.333336,1,3
pelabuhan indonesia iii persero pt,pelabuhan indonesia iv persero pt,93.333336,1,3
yunnam chihong zinckgermanium,yunnan chihong zinc&germanium,93.10345,10,19
ta chen stainless pipe,ta chen stamless pipe,93.023254,35,16
taeyoung engineering & construction,young hwa construction & engineering,92.95775,11,1
constellium se,constelluum se,92.85714,1,1
taita chemical,tata chemicals,92.85714,17,2
gcl technology,tcl technology,92.85714,1,50
konecranes dyj,konecranes oyj,92.85714,1,1
tiangi lithium,tianqi lithium,92.85714,1,1
cie automotive,ise automotive,92.85714,6,1
changqing changar automobile,chongqing changan automobile,92.85714,12,51
stl technology,tcl technology,92.85714,1,50
power engineering consulting jsc,power engineering consulting jsc no 4,92.753624,1,1
larsen & toubra,larsen & toubro,92.30769,7,11
lianyuan iron & steel,lingyuan iron & steel,92.30769,3,1
osung advanced materials,pi advanced materials,92.30769,1,2
nichia,nichias,92.30769,3,21
enel destribucion peru sma,enel distribucion peru saa,92.30769,3,1
daechang steel,daehan steel,92.30769,25,1
petroleos mexicanos,petroleos mexicarios,92.30769,22,6
morgan advanced materials,pi advanced materials,92.30769,12,2
mercedes-banz,mercedes-benz,92.30769,22,113
iintasa,intasa,92.30769,1,2
fuji electric,xuji electric,92.30769,1,2
wacker chemic,wacker chemie,92.30769,1,2
iochpe maxion,tochpe maxion,92.30769,2,1
hyosung advanced materials,pi advanced materials,92.30769,2,2
ansteel engineering technology,baosteel engineering & technology,92.06349,1,3
pingdingshan tianan coal mining,pingdingshan tratian coal mining,92.06349,27,3
qatar electricity & water co qsc,qatar general electricity & water,92,4,1
dongkuk industries,donglauk industries,91.89189,27,4
changing wanli new energy,chongqing wanli new energy,91.89189,1,1
esco technologies,vitesco technologies,91.89189,1,2
hota industrial manufacturing,showa manufacturing,91.89189,2,1
ev advanced material,highbroad advanced material hefei,91.89189,1,1
cngr advanced material,ev advanced material,91.89189,44,1
formosa bp chemicals,formosa chemicals & fibre,91.89189,4,38
gs engineering & construction,sambu engineering & construction,91.803276,17,2
taho kinzoku,toho kinzoku,91.666664,3,3
karelgaz 0ao,karelgaz dao,91.666664,1,1
transportadora de gas del sur,transportadora gas del norte,91.666664,1,6
kl chemicals,sk chemicals,91.666664,1,32
izhstal ojsc,izistal ojsc,91.666664,1,1
taki chemical,tk chemical,91.666664,11,7
cemex sab de cv,comex sab de cv,91.666664,5,7
hauwina aerospace,thanwina aerospace,91.42857,6,1
tokyu construction,toyo construction,91.42857,1,2
tunghsu azure renewable energy,tungles azure renewable energy,91.304344,4,3
neo performance materials,styrenix performance materials,91.304344,1,3
neo performance materials,tridomain performance materials pt,91.304344,1,16
faw volkswagen automotive,saic volkswagen automotive,91.304344,10,8
anji technology,hangjin technology,90.90909,1,32
hmt xiamen new technical materials,xtc new energy materials xiamen,90.90909,2,3
toyo gosei,toyoda gosei,90.90909,2,76
amada,yamada,90.90909,2,1
kg chemical,tk chemical,90.90909,3,7
mannoh industrial,sanoh industrial,90.90909,1,17
korea line,korean air lines,90.90909,2,3
snc-lavalin,snk-lavalin,90.90909,1,3
mtar technologies,tat technologies,90.90909,7,1
samsung sdi,samsung sds,90.90909,106,6
toami,tonami,90.90909,2,2
sif holding,snf holding,90.90909,11,1
sichian new energy power,sichuan new energy power,90.90909,6,6
shanxi coal international energy,shauxi coal international energy,90.90909,4,3
china energy investment corp td,state power investment corp shanxi aluminum,90.90909,1,1
china north industries,china south industries,90.90909,1,4
tabkyung bk,taekyung bk,90.90909,1,1
sankyu,sanyu,90.90909,1,6
sangbo,sango,90.90909,2,1
samsung sds,samsung sdt,90.90909,6,1
samsung sdi,samsung sdt,90.90909,106,1
daishin chemical,daistrin chemical,90.90909,3,4
orano,organo,90.90909,1,1
polar,polarx,90.90909,1,1
nitta,nittan,90.90909,1,2
nippon electric glass,nippon gas,90.90909,2,1
nikkon,nikon,90.90909,1,2
tomoe engineering,toyo engineering,90.90909,2,3
gujarat narmada valley fertilizers & chemicals,gujarat state fertilizers & chemicals,90.625,1,1
china petroleum & chemical,china petroleum of chemical,90.56604,215,4
mitsubishi chemical,mitsubishi gas chemical,90.47619,55,95
bk technologies,bwx technologies,90.32258,1,1
hana technology,nanya technology,90.32258,4,1
edom technology,eroom technology,90.32258,2,1
topy industries,toray industries,90.32258,15,138
ginar technology,nari technology,90.32258,1,1
gi technologies,gsd technologies,90.32258,2,1
mory industries,toray industries,90.32258,5,138
intai technology,nari technology,90.32258,1,1
nari technology,naura technology,90.32258,1,1
rsea engineering,sia engineering,90.32258,2,1
api technologies,gi technologies,90.32258,1,2
oc oerlikon,ooerlikon,90,1,4
wixi taiji industry,wuxi taiji industry,90,2,1
ltk svobodny sokol 000,ltk svobodny sokol ooo,90,1,1
liao ning oxiranchern,liaoning oxiranchem,90,1,3
baic motor,saic motor,90,22,19
sfc energy,sgc energy,90,10,38
hoei metal,toei metal industry,90,1,1
k&o energy,kco energy,90,1,1
mge energy,oge energy,90,1,2
shenzhen sunrise new energy,shenzier sunrise new energy,90,1,1
powerchip technology,powertech technology,90,1,1
tgc-1 pjsc,tgc-2 pjsc,90,21,2
dgk-2 pjsc,ogk-2 pjsc,90,3,2
