company_a,company_b,similarity_score,count_a,count_b
lg,lg innotek,100,3,12
lg,lg mma,100,3,3
lg,lg uplus,100,3,2
liebherr-international,liebherr-international deutschland,100,3,3
linamar,linamar forgings,100,3,1
koppers,sigdo koppers,100,4,29
komatsu,komatsu koki kk,100,68,1
kobelco wire,kobelco wire cd,100,2,3
jinneng holding shanxi coal industry,jinneng holding shanxi electric power,100,3,3
international aero engines,sinternational aero engines,100,1,1
j resources asia pasific tbk pt,resources asia pasific tbk pt,100,2,2
jfe,jfe systems,100,163,1
jiangsu tongda power technology,tongda,100,5,1
jiangsu yueda kia motors,kia,100,2,36
jilin province tonghua iron & steel international trade,tonghua iron & steel,100,1,1
jinneng holding coal,jinneng holding shanxi coal industry,100,16,3
jinneng holding shanxi coal industry,shanxi coal international energy,100,3,4
koatsu gas kogyo,koatsu kogyo,100,6,2
jiuli,zhejiang jiuli hi-tech metals,100,1,1
abu dhabi national energy co pjsc,abu dhabi national oil co for distribution pjsc,100,2,2
jtekt,jtekt india,100,152,1
k+s,k+s ng,100,2,4
kcc,kcc glass,100,12,10
keihin,keihin seimitsu kogyo,100,1,1
kintetsu,kintetsu world express,100,4,2
posco,posco planted,100,273,2
potevio,potevio new energy,100,1,1
hbis,hbis group hong kong,100,18,2
taiyo,taiyo yuden,100,1,3
tangshan beishiti iron & steel group fufeng steel,tangshan iron & steel,100,1,5
tangshan caofeidian shiye port,tangshan port,100,1,1
tata,tata chemicals,100,1,2
tata,tata hitachi construction machinery co pvt,100,1,1
tata,tata international metals uk,100,1,1
tata,tata motors,100,1,34
tata,tata power co ltd/the,100,1,2
tata,tata sons pvt,100,1,2
tata,tata steel long products,100,1,1
tatung,tatung fine chemical,100,6,1
techgen,techgen sa de cv,100,1,5
ternium,ternium argentina,100,32,15
ternium,ternium mexico sa de cv,100,32,3
thyssenkrupp,thyssenkrupp materials & services,100,165,1
tokai,tokai carbon,100,1,34
tokai,tokai carbon korea,100,1,1
tokai,tokai concrete industries,100,1,1
tanaka,tanaka seimitsu kogyo,100,1,1
taiyo,taiyo technolex,100,1,1
power construction corp of china,shipping corp of india,100,3,2
taiyo,taiyo kisokogyo,100,1,1
sk,sk materials,100,85,28
sk,sk materials airplus,100,85,4
sk,sk multi utility,100,85,3
sk,sk oceanplant,100,85,1
sk,sk shipping,100,85,6
sk,sk signet,100,85,4
sk,sk telecom,100,85,15
sk materials,sk materials airplus,100,28,4
snt,snt motiv,100,41,1
state development & investment,state power investment,100,2,10
state grid corp of china,state grid corp of chirra,100,41,13
state power investment,state power investment corp shanxi aluminum,100,10,1
stellantis,stellantis hv,100,108,6
ta,ta chen stainless pipe,100,2,35
ta,ta chen stamless pipe,100,2,16
ta,ta ya electric wire & cable,100,2,4
ta,ta yih industrial,100,2,4
tokai,tokai electronics,100,1,3
tokai,tokai kisen,100,1,1
tokai,tokai rika,100,1,8
tokai carbon,tokai carbon korea,100,34,1
vitol,vitol holding,100,2,3
volvo ab,volvo car ab,100,79,48
wanxiang,wanxiang qianchao,100,2,7
wijaya karya bangunan gedung tbk pt,wijaya karya persero tbk pt,100,1,5
wijaya karya before ibk pt,wijaya karya persero tbk pt,100,4,5
wijaya karya beton tbk pt,wijaya karya persero tbk pt,100,2,5
wonik,wonik cube,100,1,1
wonik,wonik materials,100,1,2
wonik,wonik pne,100,1,1
wpd,wpd malleco,100,1,1
xinjiang tianfu,xinjiang tianfu energy,100,1,1
yamato,yamato kogyo,100,6,8
ypf,ypf energia electrica,100,34,2
yunnan copper,yunnan copper industry,100,58,6
yunnan tin,yunnan tin group holding,100,4,1
zhejiang cenway new materials,zhejiang power new energy,100,1,1
zhejiang huahong new materials,zhejiang power new energy,100,1,1
